"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","1,821.00","2,203.00","2,203.00","2,203.00","","-13.74%"
"02/01/2024","2,111.00","1,388.00","1,388.00","1,388.00","","51.00%"
"01/01/2024","1,398.00","2,093.00","2,093.00","2,093.00","","-33.24%"
"12/01/2023","2,094.00","3,192.00","3,192.00","3,192.00","","-28.70%"
"11/01/2023","2,937.00","1,401.00","1,401.00","1,401.00","","101.30%"
"10/01/2023","1,459.00","1,737.00","1,737.00","1,737.00","","-14.23%"
"09/01/2023","1,701.00","1,065.00","1,065.00","1,065.00","","56.63%"
"08/01/2023","1,086.00","1,150.00","1,150.00","1,150.00","","-3.64%"
"07/01/2023","1,127.00","1,068.00","1,068.00","1,068.00","","3.30%"
"06/01/2023","1,091.00","937.00","937.00","937.00","","11.67%"
"05/01/2023","977.00","1,552.00","1,552.00","1,552.00","","-38.01%"
"04/01/2023","1,576.00","1,412.00","1,412.00","1,412.00","","13.46%"
"03/01/2023","1,389.00","1,099.00","1,099.00","1,099.00","","40.30%"
"02/01/2023","990.00","668.00","668.00","668.00","","45.37%"
"01/01/2023","681.00","1,250.00","1,250.00","1,250.00","","-55.05%"
"12/01/2022","1,515.00","1,338.00","1,338.00","1,338.00","","11.81%"
"11/01/2022","1,355.00","1,377.00","1,377.00","1,377.00","","-7.38%"
"10/01/2022","1,463.00","1,788.00","1,788.00","1,788.00","","-16.88%"
"09/01/2022","1,760.00","1,002.00","1,086.00","1,002.00","","82.38%"
"08/01/2022","965.00","1,872.00","1,872.00","965.00","","-49.08%"
"07/01/2022","1,895.00","2,214.00","2,214.00","1,895.00","","-15.40%"
"06/01/2022","2,240.00","2,633.00","2,633.00","2,186.00","","-12.70%"
"05/01/2022","2,566.00","2,412.00","3,369.00","2,412.00","","6.74%"
"04/01/2022","2,404.00","2,357.00","2,425.00","2,031.00","","1.95%"
"03/01/2022","2,358.00","2,069.00","2,727.00","2,069.00","","15.59%"
"02/01/2022","2,040.00","1,440.00","2,244.00","1,419.00","","43.86%"
"01/01/2022","1,418.00","2,285.00","2,296.00","1,296.00","","-36.04%"
"12/01/2021","2,217.00","3,047.00","3,423.00","2,217.00","","-26.54%"
"11/01/2021","3,018.00","3,428.00","3,428.00","2,430.00","","-14.24%"
"10/01/2021","3,519.00","5,202.00","5,650.00","3,519.00","","-31.89%"
"09/01/2021","5,167.00","4,013.00","5,197.00","3,618.00","","25.05%"
"08/01/2021","4,132.00","3,282.00","4,235.00","3,281.00","","25.52%"
"07/01/2021","3,292.00","3,338.00","3,338.00","3,039.00","","-2.69%"
"06/01/2021","3,383.00","2,568.00","3,418.00","2,420.00","","30.32%"
"05/01/2021","2,596.00","3,157.00","3,266.00","2,596.00","","-14.97%"
"04/01/2021","3,053.00","2,072.00","3,053.00","2,072.00","","49.22%"
"03/01/2021","2,046.00","1,651.00","2,319.00","1,651.00","","22.15%"
"02/01/2021","1,675.00","1,444.00","1,770.00","1,303.00","","15.36%"
"01/01/2021","1,452.00","1,374.00","1,856.00","1,374.00","","6.30%"
"12/01/2020","1,366.00","1,211.00","1,366.00","1,121.00","","11.33%"
"11/01/2020","1,227.00","1,284.00","1,284.00","1,111.00","","-4.36%"
"10/01/2020","1,283.00","1,869.00","2,097.00","1,283.00","","-25.62%"
"09/01/2020","1,725.00","1,471.00","1,725.00","1,267.00","","15.93%"
"08/01/2020","1,488.00","1,385.00","1,598.00","1,385.00","","10.22%"
"07/01/2020","1,350.00","1,803.00","1,956.00","1,264.00","","-24.96%"
"06/01/2020","1,799.00","520.00","1,799.00","520.00","","256.94%"
"05/01/2020","504.00","617.00","617.00","393.00","","-20.63%"
"04/01/2020","635.00","624.00","757.00","596.00","","1.44%"
"03/01/2020","626.00","539.00","633.00","539.00","","17.01%"
"02/01/2020","535.00","466.00","535.00","411.00","","9.86%"
"01/01/2020","487.00","976.00","976.00","487.00","","-55.32%"
"12/01/2019","1,090.00","1,568.00","1,606.00","1,090.00","","-28.66%"
"11/01/2019","1,528.00","1,697.00","1,697.00","1,255.00","","-11.73%"
"10/01/2019","1,731.00","1,809.00","1,929.00","1,731.00","","-5.05%"
"09/01/2019","1,823.00","2,442.00","2,518.00","1,823.00","","-23.34%"
"08/01/2019","2,378.00","1,812.00","2,378.00","1,712.00","","27.30%"
"07/01/2019","1,868.00","1,381.00","2,191.00","1,381.00","","37.96%"
"06/01/2019","1,354.00","1,103.00","1,354.00","1,062.00","","23.54%"
